RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
02/08/2026,1,1028-CLUB RACE,ROWAN STEELE,NOCREW,CLUB ENTERPRISE,13:30:00,14:21:06,,1130
02/08/2026,1,1028-CLUB RACE,ALEX MORGAN,JUNO,CLUB NACRA15,13:30:00,14:22:04,,960
02/08/2026,1,1028-CLUB RACE,GIO BERGAMINI,ESTER,CLUB HOBIE16,13:40:00,14:37:32,,920
02/08/2026,1,1028-CLUB RACE,ULRIKA NESS,GRACE,CLUB MIRROR,13:30:00,14:27:32,,1350
02/08/2026,1,1028-CLUB RACE,ELLIOT FROST,IN_TRAINING,CLUB LASER,13:35:00,14:28:06,,1150
02/08/2026,1,1028-CLUB RACE,DANA REYES,IN_TRAINING,CLUB ILCA 7 / LASER,13:45:00,14:30:03,,1150
02/08/2026,1,1028-CLUB RACE,KAI NAKAMURA,MEMBER,CLUB LASER,13:40:00,14:30:20,,1150
02/08/2026,1,1028-CLUB RACE,TARIQ BENNANI,MEMBER,CLUB LASER,13:40:00,14:18:52,,1150
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
